,CommonName,SciName,Family,About,Audios
300,Common buzzard,Buteo buteo,Accipitridae,"The common buzzard is a medium-to-large bird of prey which has a large range. A member of the genus Buteo, it is a member of the family Accipitridae. The species lives in most of Europe and extends its breeding range across the Palearctic as far as the Russian Far East, northwestern China and northwestern Mongolia Over much of its range, it is a year-round resident. However, buzzards from the colder parts of the Northern Hemisphere as well as those that breed in the eastern part of their range typically migrate south for the northern winter, many culminating their journey as far as South Africa. The common buzzard is an opportunistic predator that can take a wide variety of prey, but it feeds mostly on small mammals, especially rodents such as voles. It typically hunts from a perch. Like most accipitrid birds of prey, it builds a nest, typically in trees in this species, and is a devoted parent to a relatively small brood of young. The common buzzard appears to be the most common diurnal raptor in Europe, as estimates of its total global population run well into the millions.",https://xeno-canto.org/458051/download
301,Common chaffinch,Fringilla coelebs,Fringillidae,"The common chaffinch or simply the chaffinch is a common and widespread small passerine bird in the finch family. The male is brightly coloured with a blue-grey cap and rust-red underparts. The female is much duller in colouring, but both sexes have two contrasting white wing bars and white sides to the tail. The male bird has a strong voice and sings from exposed perches to attract a mate.",https://xeno-canto.org/256161/download
302,Common chiffchaff,Phylloscopus collybita,Phylloscopidae,"The common chiffchaff, or simply the chiffchaff, is a common and widespread leaf warbler which breeds in open woodlands throughout northern and temperate Europe and the Palearctic.",https://xeno-canto.org/433008/download
303,Common crane,Grus grus,Gruidae,"The common crane, also known as the Eurasian crane, is a bird of the family Gruidae, the cranes. A medium-sized species, it is the only crane commonly found in Europe besides the demoiselle crane. Along with the sandhill and demoiselle cranes and the brolga, it is one of only four crane species not currently classified as threatened with extinction or conservation dependent on the species level. Despite the species' large numbers, local extinctions and extirpations have taken place in part of its range, and an ongoing reintroduction project is underway in the United Kingdom.",https://xeno-canto.org/92197/download
304,Common cuckoo,Cuculus canorus,Cuculidae,"The common cuckoo is a member of the cuckoo order of birds, Cuculiformes, which includes the roadrunners, the anis and the coucals.",https://xeno-canto.org/104154/download
305,Common emerald dove,Chalcophaps indica,Columbidae,"The common emerald dove, also called Asian emerald dove and grey-capped emerald dove, is a widespread resident breeding pigeon native to the tropical and subtropical parts of the Indian Subcontinent and Southeast Asia. The dove is also known by the names of green dove and green-winged pigeon. The common emerald dove is the state bird of the Indian state of Tamil Nadu. The Pacific emerald dove and Stephan's emerald dove were both considered conspecific.",https://xeno-canto.org/104164/download
306,Common flameback,Dinopium javanense,Picidae,"The common flameback or common goldenback is a species of bird in the family Picidae. It is found in Bangladesh, Brunei, Cambodia, China, India, Indonesia, Laos, Malaysia, Myanmar, Singapore, Thailand, and Vietnam. The spot-throated flameback is sometimes considered a subspecies.",https://xeno-canto.org/369183/download
307,,,,,
308,Common grasshopper warbler,Locustella naevia,Locustellidae,"The common grasshopper warbler is a species of Old World warbler in the grass warbler genus Locustella. It breeds across much of temperate Europe and the western Palearctic. It is migratory, wintering in north and west Africa.",https://xeno-canto.org/166868/download
309,,,,,
310,Common greenshank,Tringa nebularia,Scolopacidae,"The common greenshank is a wader in the large family Scolopacidae, the typical waders. The genus name Tringa is the New Latin name given to the green sandpiper by Aldrovandus in 1599 based on Ancient Greek trungas, a thrush-sized, white-rumped, tail-bobbing wading bird mentioned by Aristotle. The specific nebularia is from Latin nebula ""mist"". Like the Norwegian Skoddefoll, this refers to the greenshank's damp marshy habitat.",https://xeno-canto.org/404359/download
311,,,,,
312,Common hawk-cuckoo,Hierococcyx varius,Cuculidae,"The common hawk-cuckoo, popularly known as the brainfever bird, is a medium-sized cuckoo resident in the Indian subcontinent. It bears a close resemblance to the Shikra, even in its style of flying and landing on a perch. The resemblance to hawks gives this group the generic name of hawk-cuckoo and like many other cuckoos these are brood parasites, laying their eggs in nests of babblers. During their breeding season in summer males produce loud, repetitive three note calls that are well-rendered as brain-fever, the second note being longer and higher pitched. These notes rise to a crescendo before ending abruptly and repeat after a few minutes; the calling may go on through the day, well after dusk and before dawn.",https://xeno-canto.org/554297/download
313,,,,,
314,,,,,
315,Common kestrel,Falco tinnunculus,Falconidae,"The common kestrel is a bird of prey species belonging to the kestrel group of the falcon family Falconidae. It is also known as the European kestrel, Eurasian kestrel, or Old World kestrel. In Britain, where no other kestrel species occurs, it is generally just called ""the kestrel"".",https://xeno-canto.org/343049/download
316,Common kingfisher,Alcedo atthis,Alcedinidae,"The common kingfisher, also known as the Eurasian kingfisher and river kingfisher, is a small kingfisher with seven subspecies recognized within its wide distribution across Eurasia and North Africa. It is resident in much of its range, but migrates from areas where rivers freeze in winter.",https://xeno-canto.org/428404/download
317,,,,,
318,Common merganser,Mergus merganser,Anatidae,"The common merganser or goosander (Eurasian) is a large seaduck of rivers and lakes in forested areas of Europe, the northern and central Palearctic, and North America.",https://xeno-canto.org/157361/download
319,Common moorhen,Gallinula chloropus,Rallidae,"The common moorhen, also known as the waterhen or swamp chicken, is a bird species in the rail family (Rallidae). It is distributed across many parts of the Old World.",https://xeno-canto.org/147753/download
320,Common myna,Acridotheres tristis,Sturnidae,"The common myna or Indian myna, sometimes spelled mynah, is a member of the family Sturnidae native to Asia. An omnivorous open woodland bird with a strong territorial instinct, the common myna has adapted extremely well to urban environments.",https://xeno-canto.org/426169/download
321,Common pochard,Aythya ferina,Anatidae,"The common pochard is a medium-sized diving duck. The scientific name is derived from Greek  aithuia an unidentified seabird mentioned by authors including Hesychius and Aristotle, and Latin ferina, ""wild game"", from ferus, ""wild"".",https://xeno-canto.org/100080/download
322,Common quail,Coturnix coturnix,Phasianidae,"The common quail, or European quail, is a small ground-nesting game bird in the pheasant family Phasianidae. Coturnix is the Latin for this species.",https://xeno-canto.org/95803/download
323,Common raven,Corvus corax,Corvidae,"The common raven, also known as the western raven or northern raven when discussing the raven at the subspecies level, is a large all-black passerine bird. Found across the Northern Hemisphere, it is the most widely distributed of all corvids. There are at least eight subspecies with little variation in appearance, although recent research has demonstrated significant genetic differences among populations from various regions. It is one of the two largest corvids, alongside the thick-billed raven, and is possibly the heaviest passerine bird; at maturity, the common raven averages 63 centimetres in length and 1.2 kilograms in mass. Although their typical lifespan is considerably shorter, common ravens can live more than 23 years in the wild, which among passerines only is surpassed by a few Australian species such as the satin bowerbird and probably the lyrebirds. Young birds may travel in flocks but later mate for life, with each mated pair defending a territory.",https://xeno-canto.org/166335/download
324,Common redshank,Tringa totanus,Scolopacidae,"The common redshank or simply redshank is a Eurasian wader in the large family Scolopacidae. The genus name Tringa is the New Latin name given to the green sandpiper by Aldrovandus in 1599 based on Ancient Greek trungas, a thrush-sized, white-rumped, tail-bobbing wading bird mentioned by Aristotle. The specific totanus is from Tótano, the Italian name for this bird.",https://xeno-canto.org/99931/download
325,,,,,
326,,,,,
327,,,,,
328,,,,,
329,Common rosefinch,Carpodacus erythrinus,Fringillidae,The common rosefinch or scarlet rosefinch is the most widespread and common rosefinch of Asia and Europe.,https://xeno-canto.org/99926/download
330,Common sandpiper,Actitis hypoleucos,Scolopacidae,"The common sandpiper is a small Palearctic wader. This bird and its American sister species, the spotted sandpiper, make up the genus Actitis. They are parapatric and replace each other geographically; stray birds of either species may settle down with breeders of the other and hybridize. Hybridization has also been reported between the common sandpiper and the green sandpiper, a basal species of the closely related shank genus Tringa.",https://xeno-canto.org/442558/download
331,Common shelduck,Tadorna tadorna,Anatidae,"The common shelduck is a waterfowl species of the shelduck genus, Tadorna. It is widespread and common in the Euro-Siberian region of the Palearctic, mainly breeding in temperate and wintering in subtropical regions; in winter, it can also be found in the Maghreb. Its scientific name comes from the French name Tadorne for this species. It may originally derive from Celtic roots meaning ""pied waterfowl"", essentially the same as the English ""shelduck"".",https://xeno-canto.org/355097/download
332,Common snipe,Gallinago gallinago,Scolopacidae,"The common snipe is a small, stocky wader native to the Old World. The scientific name gallinago is New Latin for a woodcock or snipe from Latin gallina, ""hen"" and the suffix -ago, ""resembling"".",https://xeno-canto.org/44818/download
333,Common starling,Sturnus vulgaris,Sturnidae,"The common starling, also known as the European starling in the United States or simply the starling in the British Isles, is a medium-sized passerine bird in the starling family, Sturnidae. It is about 20 cm (8 in) long and has glossy black plumage with a metallic sheen, which is speckled with white at some times of year. The legs are pink and the bill is black in winter and yellow in summer; young birds have browner plumage than the adults. It is a noisy bird, especially in communal roosts and other gregarious situations, with an unmusical but varied song. Its gift for mimicry has been noted in literature including the Mabinogion and the works of Pliny the Elder and William Shakespeare.",https://xeno-canto.org/167169/download
334,Common swift,Apus apus,Apodidae,"The common swift is a medium-sized bird, superficially similar to the barn swallow or house martin but somewhat larger, though not stemming from those passerine species, being in the order Apodiformes. The resemblances between the groups are due to convergent evolution, reflecting similar contextual development. The swifts' nearest relatives are the New World hummingbirds and the Southeast Asian treeswifts.",https://xeno-canto.org/547704/download
335,Common tailorbird,Orthotomus sutorius,Cisticolidae,"The common tailorbird is a songbird found across tropical Asia. Popular for its nest made of leaves ""sewn"" together and immortalized by Rudyard Kipling as Darzee in his Jungle Book, it is a common resident in urban gardens. Although shy birds that are usually hidden within vegetation, their loud calls are familiar and give away their presence. They are distinctive in having a long upright tail, greenish upper body plumage and rust coloured forehead and crown. This passerine bird is typically found in open farmland, scrub, forest edges and gardens. Tailorbirds get their name from the way their nest is constructed. The edges of a large leaf are pierced and sewn together with plant fibre or spider silk to make a cradle in which the actual nest is built.",https://xeno-canto.org/500616/download
336,Common tern,Sterna hirundo,Laridae,"The common tern is a seabird in the family Laridae. This bird has a circumpolar distribution, its four subspecies breeding in temperate and subarctic regions of Europe, Asia and North America. It is strongly migratory, wintering in coastal tropical and subtropical regions. Breeding adults have light grey upperparts, white to very light grey underparts, a black cap, orange-red legs, and a narrow pointed bill. Depending on the subspecies, the bill may be mostly red with a black tip or all black. There are a number of similar species, including the partly sympatric Arctic tern, which can be separated on plumage details, leg and bill colour, or vocalisations.",https://xeno-canto.org/197008/download
337,,,,,
338,,,,,
339,Coppersmith barbet,Psilopogon haemacephalus,Megalaimidae,"The coppersmith barbet, also called crimson-breasted barbet and coppersmith, is an Asian barbet with crimson forehead and throat, known for its metronomic call that sounds similar to a coppersmith striking metal with a hammer. It is a resident bird in the Indian subcontinent and parts of Southeast Asia. It carves out holes inside a tree to build its nest. It is predominantly frugivorous, but has been observed eating insects, especially winged termites.",https://xeno-canto.org/574972/download
340,Coral-billed scimitar babbler,Pomatorhinus ferruginosus,Timaliidae,The coral-billed scimitar babbler is a species of bird in the family Timaliidae.,https://xeno-canto.org/106762/download
341,,,,,
342,,,,,
343,Cotton pygmy-goose,Nettapus coromandelianus,Anatidae,"The cotton pygmy goose or cotton teal is a small perching duck which breeds in Asia, Southeast Asia extending south and east to Queensland where they are sometimes called white-quilled pygmy goose. They are among the smallest waterfowl in the world and are found in small to large waterbodies with good aquatic vegetation. They are usually seen in pairs or larger groups of pairs, roosting and nesting on trees near water. They are strong fliers and are known to disperse widely, especially in winter. Their breeding season coincides with the rains.",https://xeno-canto.org/207100/download
344,Crab-plover,Dromas ardeola,Dromadidae,"The crab-plover or crab plover is a bird related to the waders, but sufficiently distinctive to merit its own family Dromadidae. Its relationship within the Charadriiformes is unclear, some have considered it to be closely related to the thick-knees, or the pratincoles, while others have considered it closer to the auks and gulls. It is the only member of the genus Dromas and is unique among waders in making use of ground warmth to aid incubation of the eggs.",https://xeno-canto.org/122882/download
345,Cream-coloured courser,Cursorius cursor,Glareolidae,"The cream-colored courser is a wader in the pratincole and courser family, Glareolidae. Both parts of the scientific name derive from Latin cursor, ""runner"", from currere, ""to run"" which describes their usual habit as they hunt their insect prey on the ground in dry open semi-desert regions of Western Asia and northern Africa.",https://xeno-canto.org/149578/download
346,Crested bunting,Emberiza lathami,Emberizidae,"The crested bunting is a species of bird in the family Emberizidae, from the northern regions of the Indian Subcontinent stretching eastward to Southeast Asia.",https://xeno-canto.org/467428/download
347,Crested finchbill,Spizixos canifrons,Family,"The crested finchbill is a species of songbird in the bulbul family, Pycnonotidae.",https://xeno-canto.org/426917/download
348,Crested goshawk,Accipiter trivirgatus,Accipitridae,"The crested goshawk is a bird of prey from tropical Asia. It is related to other diurnal raptors such as eagles, buzzards and harriers, and thus placed in the family Accipitridae.",https://xeno-canto.org/171627/download
349,Crested honey buzzard,Pernis ptilorhynchus,Accipitridae,"The crested honey buzzard is a bird of prey in the family Accipitridae, which also includes many other diurnal raptors such as kites, eagles, and harriers. This species is also known as the Oriental honey buzzard.",https://xeno-canto.org/643752/download
350,Crested lark,Galerida cristata,Alaudidae,"The crested lark is a species of lark distinguished from the other 81 species of lark by the crest of feathers that rise up in territorial or courtship displays and when singing. Common to mainland Europe, the birds can also be found in northern Africa and in parts of western Asia and China. It is a non-migratory bird, but can occasionally be found as a vagrant in Great Britain.",https://xeno-canto.org/95809/download
351,Crested serpent eagle,Spilornis cheela,Accipitridae,"The crested serpent eagle is a medium-sized bird of prey that is found in forested habitats across tropical Asia. Within its widespread range across the Indian Subcontinent, Southeast Asia and East Asia, there are considerable variations and some authorities prefer to treat several of its subspecies as completely separate species. In the past, several species including the Philippine serpent eagle, Andaman serpent eagle and South Nicobar serpent eagle were treated as subspecies of the Crested serpent eagle. All members within the species complex have a large looking head with long feathers on the back of the head giving them a maned and crested appearance. The face is bare and yellow joining up with the ceres while the powerful feet are unfeathered and heavily scaled. They fly over the forest canopy on broad wings and tail have wide white and black bars. They call often with a loud, piercing and familiar three or two-note call. They often feed on snakes, giving them their name and are placed along with the Circaetus snake-eagles in the subfamily Circaetinae.",https://xeno-canto.org/44861/download
352,,,,,
353,Crimson sunbird,Aethopyga siparaja,Nectariniidae,"The crimson sunbird is a species of bird in the sunbird family which feed largely on nectar, although they will also take insects, especially when feeding the young. Flight is fast and direct on their short wings. Most species can take nectar by hovering like a hummingbird, but usually perch to feed most of the time.",https://xeno-canto.org/105277/download
354,Crimson-backed sunbird,Leptocoma minima,Nectariniidae,"The crimson-backed sunbird or small sunbird is a sunbird endemic to the Western Ghats of India. Like other sunbirds, they feed mainly on nectar although they take insects, especially to feed their young. They are tiny birds that are resident and are found in forests but are particularly attracted to gardens at the edge of the forest where people grow suitable flower-bearing plants. They usually perch while taking nectar.",https://xeno-canto.org/44900/download
355,Crimson-breasted woodpecker,Dryobates cathpharius,Picidae,"The crimson-breasted woodpecker or scarlet-breasted woodpecker is a species of bird in the family Picidae. It is found in Bangladesh, Bhutan, China, India, Laos, Myanmar, Nepal, Thailand, and Vietnam. Its natural habitats are subtropical or tropical moist lowland forests and subtropical or tropical moist montane forests. Some taxonomic authorities continue to place this species in the genus Dendrocopos. The scarlet-breasted woodpecker, is considered to be distinct by some authorities, but others consider it to be conspecific.",https://xeno-canto.org/426508/download
356,Crimson-browed finch,Carpodacus subhimachalus,Fringillidae,"The crimson-browed finch is a true finch species. It is found in Bhutan, China, India, Myanmar, and Nepal. Its natural habitats are temperate forests and temperate shrubland.",https://xeno-canto.org/134592/download
357,Crimson-fronted Barbet,Psilopogon rubricapillus,Megalaimidae,"The crimson-fronted barbet (Psilopogon rubricapillus), also called Sri Lanka barbet, is an Asian barbet endemic to Sri Lanka where it inhabits tropical moist lowland forests up to 1,300 m (4,300 ft) elevation.",https://xeno-canto.org/473499/download
358,,,,,
359,Curlew sandpiper,Calidris ferruginea,Scolopacidae,"The curlew sandpiper is a small wader that breeds on the tundra of Arctic Siberia. The genus name is from Ancient Greek kalidris or skalidris, a term used by Aristotle for some grey-coloured waterside birds. The specific ferruginea is from Latin ferrugo, ferruginis, ""iron rust"" referring to its colour in breeding plumage.",https://xeno-canto.org/312818/download
360,,,,,
361,Darjeeling woodpecker,Dendrocopos darjellensis,Picidae,"The Darjeeling woodpecker is a species of bird in the family Picidae. It is found in the northern regions of the Indian subcontinent, primarily in the Himalayas, and in some adjoining areas.",https://xeno-canto.org/426509/download
362,Dark-breasted rosefinch,Procarduelis nipalensis,Fringillidae,The dark-breasted rosefinch is a true finch species.,https://xeno-canto.org/256163/download
363,Dark-fronted babbler,Rhopocichla atriceps,Timaliidae,"The dark-fronted babbler is an Old World babbler found in the Western Ghats of India and the forests of Sri Lanka. They are small chestnut brown birds with a dark black cap, a whitish underside and pale yellow iris. They forage in flocks in the undergrowth of forests constantly making calls and uttering alarm calls when disturbed.",https://xeno-canto.org/497291/download
364,Dark-necked tailorbird,Orthotomus atrogularis,Cisticolidae,"The dark-necked tailorbird is a songbird species. Formerly placed in the ""Old World warbler"" assemblage, it is now placed in the family Cisticolidae.",https://xeno-canto.org/474666/download
365,Dark-rumped rosefinch,Carpodacus edwardsii,Fringillidae,The dark-rumped rosefinch is a species of finch in the family Fringillidae.,https://xeno-canto.org/426434/download
366,,,,,
367,Dark-sided flycatcher,Muscicapa sibirica,Muscicapidae,"The dark-sided flycatcher is a small passerine bird belonging to the genus Muscicapa in the Old World flycatcher family Muscicapidae. It has a wide breeding distribution in the East Palearctic with northern birds migrating south for the winter. It is also known as the Siberian flycatcher or sooty flycatcher, the latter name is also used for the sooty flycatcher of Africa.",https://xeno-canto.org/138671/download
368,Dark-sided thrush,Zoothera marginata,Turdidae,"The dark-sided thrush is a species of bird in the thrush family Turdidae. It is also known as the lesser brown thrush, the long-billed ground-thrush, and the dark-sided ground-thrush. The species is monotypic and is closely related to a number of thrushes in the genus Zoothera, including the long-billed thrush and the widespread scaly thrush. It was described by Edward Blyth in 1847 based upon a specimen collected in Rakhine in Burma (Myanmar).",https://xeno-canto.org/473136/download
369,,,,,
370,,,,,
371,Demoiselle crane,Anthropoides virgo,Gruidae,"The demoiselle crane is a species of crane found in central Eurosiberia, ranging from the Black Sea to Mongolia and North Eastern China. There is also a small breeding population in Turkey. These cranes are migratory birds. Birds from western Eurasia will spend the winter in Africa whilst the birds from Asia, Mongolia and China will spend the winter in the Indian subcontinent. The bird is symbolically significant in the culture of India and Pakistan, where it is known as Koonj.",https://xeno-canto.org/89775/download
372,,,,,
373,Desert lark,Ammomanes deserti,Alaudidae,"The desert lark breeds in deserts and semi-deserts from Morocco to western India. It has a very wide distribution and faces no obvious threats, and surveys have shown that it is slowly increasing in numbers as it expands its range. The International Union for Conservation of Nature has rated its conservation status as being of ""least concern"".",https://xeno-canto.org/351862/download
374,Desert wheatear,Oenanthe deserti,Muscicapidae,"The desert wheatear is a wheatear, a small passerine bird that was formerly classed as a member of the thrush family Turdidae, but is now more generally considered to be an Old World flycatcher (Muscicapidae). It is a migratory insectivorous species, 14.5 to 15 cm in length. Both western and eastern forms of the desert wheatear are rare vagrants to western Europe. The western desert wheatear breeds in the Sahara and the northern Arabian peninsula. The eastern race is found in the semi-deserts of Central Asia and in winter in Pakistan and northeast Africa.",https://xeno-canto.org/112774/download
375,,,,,
376,,,,,
377,Dusky crag martin,Ptyonoprogne concolor,Hirundinidae,"The dusky crag martin is a small passerine bird in the swallow family. It is about 13 cm (5 in) long with a broad body and wings, and a short square tail that has small white patches near the tips of most of its feathers. This martin has sooty-brown upperparts and slightly paler underparts. The two subspecies are resident breeding birds in South Asia from the Indian subcontinent to southwestern China and the northern parts of Thailand, Vietnam and Laos.",https://xeno-canto.org/92324/download
378,Dusky eagle-owl,Bubo coromandus,Strigidae,"The dusky eagle-owl is an owl species in the family Strigidae that is widespread in South and Southeast Asia. It is listed as Least Concern on the IUCN Red List. The species's extent of occurrence is estimated at 9,250,000 km2 (3,570,000 sq mi).",https://xeno-canto.org/207751/download
379,,,,,
380,Dusky warbler,Phylloscopus fuscatus,Phylloscopidae,"The dusky warbler is a leaf warbler which breeds in the east Palearctic. The genus name Phylloscopus is from Ancient Greek phullon, ""leaf"", and skopos, ""seeker"". The specific fuscatus is from Latin fuscus ""dark"".",https://xeno-canto.org/73171/download
381,Eastern barn owl,Tyto javanica,Tytonidae,"The eastern barn owl is usually considered a subspecies group and together with the American barn owl group, the western barn owl group, and sometimes the Andaman masked owl make up the barn owl. The cosmopolitan barn owl is recognized by most taxonomic authorities. A few separate them into distinct species, as is done here. The eastern barn owl is native to southeastern Asia and Australasia.",https://xeno-canto.org/168354/download
382,Eastern cattle egret,Bubulcus coromandus,Ardeidae,"The eastern cattle egret is a species of heron found in the tropics, subtropics and warm temperate zones. Most taxonomic authorities lump this species and the western cattle egret together as subspecies of the cattle egret, but some separate them. Despite the similarities in plumage to the egrets of the genus Egretta, it is more closely related to the herons of Ardea. It is native to southern and eastern Asia, and Australasia.",https://xeno-canto.org/83139/download
383,,,,,
384,,,,,
385,Eastern jungle crow,Corvus levaillantii,Family,The eastern jungle crow is a bird in the family Corvidae.,https://xeno-canto.org/116534/download
386,,,,,
387,Eastern Orphean warbler,Sylvia crassirostris,Sylviidae,"The eastern Orphean warbler is a typical warbler of the genus Curruca. This species occurs in summer around the Mediterranean, through the Balkans via Turkey, the Caucasus and surrounding regions to Central Asia. It is migratory, wintering in sub-Saharan Africa.",https://xeno-canto.org/308193/download
388,,,,,
389,Eastern yellow wagtail,Motacilla tschutschensis,Motacillidae,"The eastern yellow wagtail is a small passerine in the wagtail family Motacillidae, which also includes the pipits and longclaws. It was often classified as a subspecies of the Western yellow wagtail.",https://xeno-canto.org/768782/download
390,Edible-nest swiftlet,Aerodramus fuciphagus,Apodidae,"The edible-nest swiftlet, also known as the white-nest swiftlet, is a small bird of the swift family which is found in South-East Asia. Its nest is made of solidified saliva and is used to make bird's nest soup.",https://xeno-canto.org/369038/download
391,,,,,
392,,,,,
393,,,,,
394,Eurasian collared dove,Streptopelia decaocto,Columbidae,"The Eurasian collared dove is a dove species native to Europe and Asia; it was introduced to Japan, North America and islands in the Caribbean. Because of its vast global range and increasing population trend, it has been listed as Least Concern on the IUCN Red List since 2014.",https://xeno-canto.org/440355/download
395,Eurasian coot,Fulica atra,Rallidae,"The Eurasian coot, also known as the common coot, or Australian coot, is a member of the rail and crake bird family, the Rallidae. It is found in Europe, Asia, Australia, New Zealand and parts of North Africa. It has a slaty-black body, a glossy black head and a white bill with a white frontal shield. The sexes are similar.",https://xeno-canto.org/429771/download
396,Eurasian crag martin,Ptyonoprogne rupestris,Hirundinidae,"The Eurasian crag martin or just crag martin is a small passerine bird in the swallow family. It is about 14 cm (5.5 in) long with ash-brown upperparts and paler underparts, and a short, square tail that has distinctive white patches on most of its feathers. It breeds in the mountains of southern Europe, northwestern Africa and across the Palearctic. It can be confused with the three other species in its genus, but is larger than both, with brighter tail spots and different plumage tone. Many European birds are resident, but some northern populations and most Asian breeders are migratory, wintering in northern Africa, the Middle East or India.",https://xeno-canto.org/823833/download
397,Eurasian curlew,Numenius arquata,Scolopacidae,"The Eurasian curlew or common curlew is a wader in the large family Scolopacidae. It is one of the most widespread of the curlews, breeding across temperate Europe and Asia. In Europe, this species is often referred to just as the ""curlew"", and in Scotland known as the ""whaup"" in Scots.",https://xeno-canto.org/122891/download
398,Eurasian eagle-owl,Bubo bubo,Strigidae,"The Eurasian eagle-owl is a species of eagle-owl that resides in much of Eurasia. It is also called the European eagle-owl and in Europe, it is occasionally abbreviated to just the eagle-owl. It is one of the largest species of owl, and females can grow to a total length of 75 cm (30 in), with a wingspan of 188 cm, males being slightly smaller. This bird has distinctive ear tufts, with upper parts that are mottled with darker blackish colouring and tawny. The wings and tail are barred. The underparts are a variably hued buff, streaked with darker colour. The facial disc is not very visible and the orange eyes are distinctive.",https://xeno-canto.org/823830/download
399,,,,,
400,Eurasian hobby,Falco subbuteo,Falconidae,"The Eurasian hobby, or just simply hobby, is a small, slim falcon. It belongs to a rather close-knit group of similar falcons often considered a subgenus Hypotriorchis.",https://xeno-canto.org/90627/download
401,Eurasian hoopoe,Upupa epops,Upupidae,"The Eurasian hoopoe is the most widespread species of the genus Upupa, native to Europe, Asia and the northern half of Africa. Some taxonomists still consider all three species conspecific. Some authorities also keep the African and Eurasian hoopoe together, but split the Madagascar hoopoe.",https://xeno-canto.org/573209/download
402,Eurasian jay,Garrulus glandarius,Corvidae,"The Eurasian jay is a species of bird occurring over a vast region from western Europe and north-west Africa to the Indian subcontinent and further to the eastern seaboard of Asia and down into south-east Asia. Across its vast range, several very distinct racial forms have evolved to look very different from each other, especially when forms at the extremes of its range are compared.",https://xeno-canto.org/442559/download
403,Eurasian magpie,Pica pica,Corvidae,"The Eurasian magpie or common magpie is a resident breeding bird throughout the northern part of the Eurasian continent. It is one of several birds in the crow family designated magpies, and belongs to the Holarctic radiation of ""monochrome"" magpies. In Europe, ""magpie"" is used by English speakers as a synonym for the European magpie: the only other magpie in Europe is the Iberian magpie, which is limited to the Iberian Peninsula.",https://xeno-canto.org/547449/download
404,Eurasian nutcracker,Nucifraga caryocatactes,Corvidae,"The spotted nutcracker, Eurasian nutcracker, or just nutcracker, is a passerine bird slightly larger than the Eurasian jay. It has a much larger bill and a slimmer looking head without any crest. The feathering over its body is predominantly chocolate brown with distinct white spots and streaks. The wings and upper tail are virtually black with a greenish-blue gloss. It is one of three species of nutcracker. The large-spotted nutcracker, was formerly considered a subspecies of the spotted. The other member of the genus, Clark's nutcracker, occurs in western North America.",https://xeno-canto.org/426722/download
405,Eurasian oystercatcher,Haematopus ostralegus,Haematopodidae,"The Eurasian oystercatcher also known as the common pied oystercatcher, or palaearctic oystercatcher, or just oystercatcher, is a wader in the oystercatcher bird family Haematopodidae. It is the most widespread of the oystercatchers, with three races breeding in western Europe, central Eurosiberia, Kamchatka, China, and the western coast of Korea. No other oystercatcher occurs within this area. The extinct Canary Islands oystercatcher, formerly considered a distinct species, may have actually been an isolated subspecies or distinct population of the Eurasian oystercatcher.",https://xeno-canto.org/299296/download
406,,,,,
407,,,,,
408,Eurasian skylark,Alauda arvensis,Alaudidae,"The Eurasian skylark is a passerine bird in the lark family, Alaudidae. It is a widespread species found across Europe and the Palearctic with introduced populations in New Zealand, Australia and on the Hawaiian Islands. It is a bird of open farmland and heath, known for the song of the male, which is delivered in hovering flight from heights of 50 to 100 metres. The sexes are alike. It is streaked greyish-brown above and on the breast and has a buff-white belly.",https://xeno-canto.org/673678/download
409,Eurasian spoonbill,Platalea leucorodia,Threskiornithidae,"The Eurasian spoonbill, or common spoonbill, is a wading bird of the ibis and spoonbill family Threskiornithidae. The genus name Platalea is from Latin and means ""broad"", referring to the distinctive shape of the bill, and leucorodia is from Ancient Greek leukerodios ""spoonbill"", itself derived from leukos, ""white"" and erodios ""heron"". In England it was traditionally known as the ""shovelard"", a name later used for the Northern Shoveller.",https://xeno-canto.org/92325/download
410,Eurasian teal,Anas crecca,Anatidae,"The Eurasian teal, common teal, or Eurasian green-winged teal is a common and widespread duck which breeds in temperate Eurosiberia and migrates south in winter. The Eurasian teal is often called simply the teal due to being the only one of these small dabbling ducks in much of its range. The bird gives its name to the blue-green colour teal.",https://xeno-canto.org/89777/download
411,Eurasian tree sparrow,Passer montanus,Passeridae,"The Eurasian tree sparrow is a passerine bird in the sparrow family with a rich chestnut crown and nape, and a black patch on each pure white cheek. The sexes are similarly plumaged, and young birds are a duller version of the adult. This sparrow breeds over most of temperate Eurasia and Southeast Asia, where it is known as the tree sparrow, and it has been introduced elsewhere including the United States, where it is known as the Eurasian tree sparrow or German sparrow to differentiate it from the native unrelated American tree sparrow. Although several subspecies are recognised, the appearance of this bird varies little across its extensive range.",https://xeno-canto.org/368741/download
412,Eurasian wigeon,Mareca penelope,Anatidae,"The Eurasian wigeon, also known as widgeon is one of three species of wigeon in the dabbling duck genus Mareca. It is common and widespread within its Palearctic range.",https://xeno-canto.org/89898/download
413,,,,,
414,Eurasian wren,Troglodytes troglodytes,Troglodytidae,"The Eurasian wren is a very small bird, and the only member of the wren family Troglodytidae found in Eurasia and Africa (Maghreb). In Anglophone Europe, it is commonly known simply as the wren. It was once lumped with Troglodytes hiemalis of eastern North America and Troglodytes pacificus of western North America as the winter wren. The Eurasian wren occurs in Europe and across the Palearctic – including a belt of Asia from northern Iran and Afghanistan across to Japan. It is migratory in only the northern parts of its range. It is also highly polygynous, an unusual mating system for passerines.",https://xeno-canto.org/256164/download
