,CommonName,SciName,Family,About,Audios
75,Baya weaver,Ploceus philippinus,Ploceidae,"The baya weaver is a weaverbird found across the Indian Subcontinent and Southeast Asia. Flocks of these birds are found in grasslands, cultivated areas, scrub and secondary growth and they are best known for their hanging retort shaped nests woven from leaves. These nest colonies are usually found on thorny trees or palm fronds and the nests are often built near water or hanging over water where predators cannot reach easily. They are widespread and common within their range but are prone to local, seasonal movements mainly in response to rain and food availability.",https://xeno-canto.org/424377/download
76,,,,,
77,,,,,
78,Beautiful nuthatch,Sitta formosa,Sittidae,"The beautiful nuthatch is a bird species in the family Sittidae, collectively known as nuthatches. It is a large nuthatch, measuring 16.5 cm (6.5 in) in length, that is not sexually dimorphic. Its coloration and markings are dramatic, the upper parts being black and azure, streaked with white and pale blue on the head and lined with the same colors on the wing feathers. The underparts are orange, and the eyebrow and throat are ochre. An irregular, dark eyestripe highlights its eye. S. formosa's ecology is not fully described, but it is known to feed on small insects and larvae found on the trunks and epiphyte-covered branches of trees in its range. Reproduction takes place from April to May; the nest is placed in the hole of an oak, rhododendron, or other large tree. The nest is made of plant material and fur in which the bird typically lays four to six eggs.",https://xeno-canto.org/79947/download
79,Beautiful sibia,Heterophasia pulchella,Leiothrichidae,"The beautiful sibia is a species of bird in the family Leiothrichidae. It is found in China, India, and Myanmar.",https://xeno-canto.org/243544/download
80,Bengal bush lark,Mirafra assamica,Alaudidae,The Bengal bush lark or Bengal lark is a species of lark in the family Alaudidae found in southern Asia.,https://xeno-canto.org/444117/download
81,Bengal florican,Houbaropsis bengalensis,Otididae,"The Bengal florican, also called Bengal bustard, is a bustard species native to the Indian subcontinent, Cambodia, and Vietnam. It is listed as Critically Endangered on the IUCN Red List because fewer than 1,000 individuals were estimated to be alive as of 2017. It is the only member of the genus Houbaropsis.",https://xeno-canto.org/881503/download
82,Besra,Accipiter virgatus,,,https://xeno-canto.org/178284/download
83,Bhutan laughingthrush,Trochalopteron imbricatum,Leiothrichidae,"The Bhutan laughingthrush is a species of bird in the family Leiothrichidae. It is commonly found in Bhutan and some adjoining areas in India. It was formerly considered a subspecies of the streaked laughingthrush, G. lineatus, hence its alternate common name of Himalayan streaked laughingthrush.",https://xeno-canto.org/374726/download
84,Bianchi's warbler,Phylloscopus valentini,Phylloscopidae,"Bianchi's warbler is a species of leaf warbler. It was formerly included in the ""Old World warbler"" assemblage.",https://xeno-canto.org/782814/download
85,Bimaculated lark,Melanocorypha bimaculata,Alaudidae,"The bimaculated lark breeds in warm temperate countries eastwards from Turkey into Central Asia. It is the eastern counterpart of its relative, the calandra lark.",https://xeno-canto.org/308184/download
86,,,,,
87,Black bittern,Ixobrychus flavicollis,Ardeidae,"The black bittern is a bittern of Old World origin, breeding in tropical Asia from Bangladesh, Pakistan, India, and Sri Lanka east to China, Indonesia, and Australia. It is mainly resident, but some northern birds migrate short distances.",https://xeno-canto.org/452896/download
88,Black bulbul,Hypsipetes leucocephalus,Pycnonotidae,"The black bulbul, also known as the Himalayan black bulbul or Asian black bulbul, is a member of the bulbul family of passerine birds. It is found in southern Asia from India east to southern China. It is the type species of the genus Hypsipetes, established by Nicholas Aylward Vigors in the early 1830s. There are a number of subspecies, mostly varying in the shade of the body plumage which ranges from grey to black, and some also occur in white-headed morphs, as also suggested by its specific epithet leucocephalus, literally ""white head"". The legs and bill are always rich orange-red.",https://xeno-canto.org/104361/download
89,Black drongo,Dicrurus macrocercus,Dicruridae,"The  black drongo is a small Asian passerine bird of the drongo family Dicruridae. It is a common resident breeder in much of tropical southern Asia from southwest Iran through India, Bangladesh and Sri Lanka east to southern China and Indonesia and accidental visitor of Japan. It is an all black bird with a distinctive forked tail and measures 28 cm (11 in) in length. It feeds on insects, and is common in open agricultural areas and light forest throughout its range, perching conspicuously on a bare perch or along power or telephone lines. The species is known for its aggressive behaviour towards much larger birds, such as crows, never hesitating to dive-bomb any bird of prey that invades its territory. This behaviour earns it the informal name of king crow. Smaller birds often nest in the well-guarded vicinity of a nesting black drongo. Previously grouped along with the African fork-tailed drongo, the Asian forms are now treated as a separate species with several distinct populations.",https://xeno-canto.org/425052/download
90,Black eagle,Ictinaetus malaiensis,Accipitridae,"The black eagle. Like all eagles, it is in the family Accipitridae, and is the only member of the genus Ictinaetus. They soar over forests in the hilly regions of tropical and subtropical South and Southeast Asia, as well as southeastern China. They hunt mammals and birds, particularly at their nests. They are easily identified by their widely splayed and long primary ""fingers"", the characteristic silhouette, slow flight and yellow ceres and legs that contrast with their dark feathers.",https://xeno-canto.org/383932/download
91,Black francolin,Francolinus francolinus,Phasianidae,"The black francolin is a gamebird in the pheasant family Phasianidae of the order Galliformes, gallinaceous birds. It was formerly known as the Black Partridge. It is the state bird of Haryana state, India.",https://xeno-canto.org/103538/download
92,Black kite,Milvus migrans,Accipitridae,"The black kite is a medium-sized bird of prey in the family Accipitridae, which also includes many other diurnal raptors. It is thought to be the world's most abundant species of Accipitridae, although some populations have experienced dramatic declines or fluctuations. Current global population estimates run up to 6 million individuals. Unlike others of the group, black kites are opportunistic hunters and are more likely to scavenge. They spend much time soaring and gliding in thermals in search of food. Their angled wing and distinctive forked tail make them easy to identify. They are also vociferous with a shrill whinnying call. This kite is widely distributed through the temperate and tropical parts of Eurasia and parts of Australasia and Oceania, with the temperate region populations tending to be migratory. Several subspecies are recognized and formerly had their own English names. The European populations are small, but the South Asian population is very large.",https://xeno-canto.org/425062/download
93,,,,,
94,Black redstart,Phoenicurus ochruros,Muscicapidae,"The black redstart is a small passerine bird in the redstart genus Phoenicurus. Like its relatives, it was formerly classed as a member of the thrush family (Turdidae), but is now known to be an Old World flycatcher (Muscicapidae). Other common names are Tithy's redstart, blackstart and black redtail.",https://xeno-canto.org/207745/download
95,,,,,
96,,,,,
97,Black-and-orange flycatcher,Ficedula nigrorufa,Muscicapidae,"The black-and-orange flycatcher or black-and-rufous flycatcher is a species of flycatcher endemic to the central and southern Western Ghats, the Nilgiris and Palni hill ranges in southern India. It is unique among the Ficedula flycatchers in having rufous coloration on its back and prior to molecular studies was suggested to be related to the chats and thrushes.",https://xeno-canto.org/44899/download
98,Black-and-yellow grosbeak,Mycerobas icterioides,Fringillidae,"The black-and-yellow grosbeak is a species of finch native to the northern parts of the Indian subcontinent, primarily the lower and middle Himalayas. It is in the family Fringillidae.",https://xeno-canto.org/255922/download
99,Black-backed forktail,Enicurus immaculatus,Muscicapidae,"The black-backed forktail, occasionally referred to as the black-throated forktail, is a forktail species in the family Muscicapidae. The species was described in 1836, from a specimen collected in Nepal. It is a medium-sized forktail, weighing between 25 and 29 grams, with a length of 20.5 to 23 centimetres. The species has a broad white stripe across its forehead. The crown, face, and mantle are black, while the bird's underparts are white, sharply divided from the black above. The wings are largely black with a broad white stripe across the greater coverts. The tail of the species, similar to that of other forktails, is long, graduated, and deeply forked. The tail is black with a white tip and three white bands created by shorter tail feathers. The beak of the bird is black, while the feet and legs are light pink, and the iris is brown. The species is monomorphic.",https://xeno-canto.org/116354/download
100,,,,,
101,,,,,
102,Black-bellied tern,Sterna acuticauda,Laridae,"The black-bellied tern is a tern found near large rivers in the Indian subcontinent, its range extending from Pakistan, Nepal and India to Myanmar. It has become very scarce in the eastern part of its range and the International Union for Conservation of Nature has assessed its conservation status as being endangered.",https://xeno-canto.org/473067/download
103,Black-breasted parrotbill,Paradoxornis flavirostris,Sylviidae,"The black-breasted parrotbill is a 19 cm long, large, thick-billed parrotbill with black patches on the head-sides and throat. Formerly considered a distinct family, the parrotbills are now placed with the typical warblers in the Sylviidae.",https://xeno-canto.org/426731/download
104,Black-breasted thrush,Turdus dissimilis,Turdidae,"The black-breasted thrush is a species of bird in the family Turdidae. It is found from north-eastern India to northern Vietnam. Although both male and female birds have the same colour on their lower parts, the upper section of males is mostly black in colour, while females are mostly grey-brown. Thus, the bird's common name refers to the colour of the male bird's breast. They tend to live in forests located at high altitude.",https://xeno-canto.org/21865/download
105,Black-breasted weaver,Ploceus benghalensis,Ploceidae,"The black-breasted weaver, also known as the Bengal weaver or black-throated weaver, is a weaver resident in the northern river plains of the Indian subcontinent. Like the other weavers, the males build an enclosed nest from reeds and mud, and visiting females select a mate at least partially based on the quality of the nest.",https://xeno-canto.org/105866/download
106,,,,,
107,Black-browed reed warbler,Acrocephalus bistrigiceps,Acrocephalidae,"The black-browed reed warbler is a marsh-warbler. It was formerly included in the ""Old World warbler"" assemblage. The species was first described by Robert Swinhoe in 1860.",https://xeno-canto.org/771502/download
108,Black-capped kingfisher,Halcyon pileata,Alcedinidae,"The black-capped kingfisher is a tree kingfisher which is widely distributed in tropical Asia from India east to China, Korea and Southeast Asia. This most northerly of the tree kingfishers is resident over much of its range, but northern populations are migratory, wintering south of their range in Sri Lanka, Thailand, Borneo and Java. It is distinctive in having a black cap that contrasts with the whitish throat, purple-blue wings and the coral red bill. The species is mainly found in coastal and mangrove habitats but can sometimes be found far inland.",https://xeno-canto.org/311933/download
109,Black-chinned babbler,Stachyridopsis pyrrhops,Timaliidae,"The black-chinned babbler is a babbler species in the family Timaliidae. It occurs in the foothills of the Himalayas from the Murree Hills in Pakistan to eastern Nepal. It inhabits subtropical and temperate forest at 245–2,750 m (804–9,022 ft) altitudes. It is listed as Least Concern on the IUCN Red List.",https://xeno-canto.org/486591/download
110,Black-chinned yuhina,Yuhina nigrimenta,Zosteropidae,The black-chinned yuhina is a bird species in the white-eye family Zosteropidae.,https://xeno-canto.org/427022/download
111,Black-crested bulbul,Rubigula flaviventris,Pycnonotidae,The black-crested bulbul is a member of the bulbul family of passerine birds. It is found from the Indian subcontinent to southeast Asia.,https://xeno-canto.org/112908/download
112,Black-crowned night heron,Nycticorax nycticorax,Ardeidae,"The black-crowned night heron, or black-capped night heron, commonly shortened to just night heron in Eurasia, is a medium-sized heron found throughout a large part of the world, except in the coldest regions and Australasia.",https://xeno-canto.org/574756/download
113,Black-crowned sparrow-lark,Eremopterix nigriceps,Alaudidae,The black-crowned sparrow-lark is a species of lark in the family Alaudidae. It is found across northern Africa from Mauritania through the Middle East to north-western India. Its natural habitat is dry savanna.,https://xeno-canto.org/308185/download
114,Black-eared shrike-babbler,Pteruthius melanotis,Vireonidae,"The black-eared shrike-babbler is a bird species in the vireo family, Vireonidae. It was traditionally considered as an aberrant Old World babbler and formerly placed in the family Timaliidae. It was long noted that their habits resembled those of vireos, but this was previously ascribed to the result of convergent evolution. It is found in Southeast Asia from the Himalayas to western Malaysia. Its natural habitat is subtropical or tropical moist montane forests.",https://xeno-canto.org/201797/download
115,Black-faced bunting,Emberiza spodocephala,Emberizidae,"The  black-faced bunting is a passerine bird in the bunting family Emberizidae, a group now separated by most modern authors from the finches, Fringillidae.",https://xeno-canto.org/157720/download
116,Black-faced laughingthrush,Trochalopteron affine,Leiothrichidae,The black-faced laughingthrush is a bird species in the family Leiothrichidae.,https://xeno-canto.org/550801/download
117,Black-faced warbler,Abroscopus schisticeps,Cettiidae,"The black-faced warbler is a species of bush warbler. It was formerly included in the ""Old World warbler"" assemblage.",https://xeno-canto.org/255705/download
